9781449410247,How to Tell If Your Cat Is Plotting to Kill You,Matthew Inman,13.95
9781476785653,You're Never Weird on the Internet (Almost),Felicia Day,14.14
9780140041927,Aunts Aren't Gentlemen ,P.G. Wodehouse,14.2
9781929132140,Everyone Poops,Taro Gomi,14.15
9780316113663,The Name of This Book Is Secret,Pseudonymous Bosch,14.04
9780440421856,How to Eat Fried Worms,Thomas Rockwell,13.75
9780978970765,"John Dies at the End (John Dies at the End, #1)",David Wong,13.91
9780763655990,This is Not My Hat,Jon Klassen,14.23
9780684853949,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,14.04
9780060855925,"The Color of Magic (Discworld, #1; Rincewind #1)",Terry Pratchett,13.98
9780689707490,Cloudy With a Chance of Meatballs,Judi Barrett,14.15
9781579126292,A Murder Is Announced,Agatha Christie,13.96
9780525467564,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,14.34
9780142437247,"Moby-Dick or, The Whale",Herman Melville,13.47
9780553279375,I Know Why the Caged Bird Sings,Maya Angelou,14.19
9780439064866,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,14.38
9780374528379,The Brothers Karamazov,Fyodor Dostoyevsky,14.31
9780060786502,The Poisonwood Bible,Barbara Kingsolver,14.03
9780452011878,Atlas Shrugged,Ayn Rand,13.68
9780449213940,All Quiet on the Western Front,Erich Maria Remarque,13.93
9780142437230,Don Quixote,Miguel de Cervantes Saavedra,13.85
9780393312836,A Clockwork Orange,Anthony Burgess,13.98
9780385199575,The Stand,Stephen King,14.34
9781840224023,Uncle Tom's Cabin,Harriet Beecher Stowe,13.83
9780192833983,War and Peace,Leo Tolstoy,14.11
9780060529963,"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,14.33
9780385490818,The Handmaid's Tale,Margaret Atwood,14.07
9781939126016,The Time Traveler's Wife,Audrey Niffenegger,13.95
9780553213690,The Metamorphosis,Franz Kafka,13.78
9780553208849,Siddhartha,Hermann Hesse,13.99
9780060775858,Goodnight Moon,Margaret Wise Brown,14.27
9780061120077,A Tree Grows in Brooklyn,Betty  Smith,14.24
9780316015844,"Twilight (Twilight, #1)",Stephenie Meyer,13.57
9780142437261,The Scarlet Letter,Nathaniel Hawthorne,13.37
9780743477109,Macbeth,William Shakespeare,13.88
9780141439471,Frankenstein,Mary Wollstonecraft Shelley,13.76
9780684830490,The Old Man and the Sea,Ernest Hemingway,13.73
9780385333849,Slaughterhouse-Five,Kurt Vonnegut Jr.,14.06
9780618346257,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,14.34
9780684833392,"Catch-22 (Catch-22, #1)",Joseph Heller,13.98
9780156030304,Flowers for Algernon,Daniel Keyes,14.07
9780345803924,Anna Karenina,Leo Tolstoy,14.02
9780751529814,Tuesdays with Morrie,Mitch Albom,14.07
9780451163967,One Flew Over the Cuckoo's Nest,Ken Kesey,14.19
9780140449266,The Count of Monte Cristo,Alexandre Dumas,14.22
9780679805274,"Oh, The Places You'll Go!",Dr. Seuss,14.34
9780770430078,Life of Pi,Yann Martel,13.88
9780451528827,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,14.23
9780141439600,A Tale of Two Cities,Charles Dickens,13.82
9781594489501,A Thousand Splendid Suns,Khaled Hosseini,14.34
9780143039563,The Adventures of Tom Sawyer,Mark Twain,13.9
9780812550702,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,14.3
9780099408390,Where the Wild Things Are,Maurice Sendak,14.22
9780670016907,The Grapes of Wrath,John Steinbeck,13.93
9780060513030,Where the Sidewalk Ends,Shel Silverstein,14.29
9780140385724,The Outsiders,S.E. Hinton,14.06
9780671727796,The Color Purple,Alice Walker,14.17
9781561797462,A Christmas Carol,Charles Dickens,14.02
9780143039952,The Odyssey,Homer,13.73
9780399155345,The Help,Kathryn Stockett,14.45
9780060764890,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,14.19
9780394800011,The Cat in the Hat,Dr. Seuss,14.15
9781400096893,Memoirs of a Geisha,Arthur Golden,14.08
9780517189603,The Secret Garden,Frances Hodgson Burnett,14.12
9780143058144,Crime and Punishment,Fyodor Dostoyevsky,14.19
9780061122415,The Alchemist,Paulo Coelho,13.82
9780060776091,Brave New World / Brave New World Revisited,Aldous Huxley,14.16
9780439785969,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,14.54
9780345418913,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide, #1)",Douglas Adams,14.2
9780521618748,Hamlet,William Shakespeare,14.01
9780142437179,The Adventures of Huckleberry Finn,Mark Twain,13.8
9780439139601,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,14.53
9780375751516,The Picture of Dorian Gray,Oscar Wilde,14.06
9780307347978,Fahrenheit 451,Ray Bradbury,13.97
9780374500016,Night (The Night Trilogy #1),Elie Wiesel,14.3
9780446675536,Gone with the Wind,Margaret Mitchell,14.28
9780439655484,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,14.53
9780439023481,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,14.34
9780451527745,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,14.06
9780142000670,Of Mice and Men,John Steinbeck,13.84
9780451529305,"Little Women (Little Women, #1)",Louisa May Alcott,14.04
9780394800165,Green Eggs and Ham,Dr. Seuss,14.29
9780064410939,Charlotte's Web,E.B. White,14.15
9880008247652,Hit Refresh,Satya Nadella,13.5
9780385732550,"The Giver (The Giver, #1)",Lois Lowry,14.12
9781594480003,The Kite Runner,Khaled Hosseini,14.26
9780060256654,The Giving Tree,Shel Silverstein,14.37
9780545010221,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,14.62
9780140283334,Lord of the Flies,William Golding,13.65
9780743477116,Romeo and Juliet,William Shakespeare,13.74
9780066238500,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,14.24
9780375831003,The Book Thief,Markus Zusak,14.36
9780618640157,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,14.48
9780316769174,The Catcher in the Rye,J.D. Salinger,13.79
9780743273565,The Great Gatsby,F. Scott Fitzgerald,13.89
9780618260300,The Hobbit,J.R.R. Tolkien,14.25
9780452284241,Animal Farm,George Orwell,13.88
9780553296983,The Diary of a Young Girl,Anne Frank,14.1
9780439554930,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,14.45
9780679783268,Pride and Prejudice,Jane Austen,14.24
9780451524935,1984,George Orwell,14.14
